"order"	"family"	"genus"	"specific_epithet"	"common_name"	"year"	"month"	"newborn"	"juvenile"	"female"	"unid_adult"	"migrant_resident"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2007	12	3	0	9	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2008	6	46	28	214	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2008	12	34	9	88	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2009	6	56	31	174	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2009	12	6	5	27	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2010	6	9	4	26	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2010	12	9	4	26	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2011	6	7	4	27	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2011	12	15	4	26	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2012	6	15	4	24	NA	"R"
"Artiodactyla"	"Bovidae"	"Alcelaphus"	"buselaphus"	"Coke's kongoni"	2013	6	14	4	23	NA	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1950	NA	3	4	3	5	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1969	NA	0	110	2	2	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1980	NA	0	0	6	12	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1986	NA	0	0	0	3	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1987	NA	0	3	30	58	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1989	NA	0	0	69	96	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1991	NA	0	21	72	120	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1992	NA	1	1	207	283	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1993	NA	58	59	356	521	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1994	NA	9	125	368	650	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1995	NA	0	0	47	73	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1996	NA	2	4	42	71	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	1997	NA	10	0	11	22	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2000	NA	0	11	NA	0	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2001	NA	0	0	6	14	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2002	NA	8	0	30	44	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2003	NA	0	0	23	50	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2004	NA	26	0	27	55	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2008	NA	0	8	6	8	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2009	NA	0	20	5	7	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2010	NA	4	15	3	4	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2012	NA	0	20	2	2	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2013	NA	24	0	6	8	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2015	NA	0	12	1	2	"R"
"Aves"	"Struthionidae"	"Struthio"	"camelus"	"Ostrich"	2018	NA	5	0	2	4	"R"
"Artiodactyla"	"Bovidae"	"Eudorcas"	"thomsonii"	"Thomson's gazelle"	1992	NA	365	NA	2418	NA	"M"
"Artiodactyla"	"Bovidae"	"Eudorcas"	"thomsonii"	"Thomson's gazelle"	1993	NA	540	NA	7017	NA	"M"
"Artiodactyla"	"Bovidae"	"Eudorcas"	"thomsonii"	"Thomson's gazelle"	1994	NA	627	NA	6016	NA	"M"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1972	3	NA	2	5	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1977	3	NA	261	442	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1978	3	NA	4	10	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1980	3	NA	3	4	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1982	3	NA	75	215	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1983	3	NA	654	1963	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1984	3	NA	335	1846	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1985	3	163	NA	406	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1985	3	NA	359	1193	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1986	3	370	NA	679	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1986	3	NA	214	679	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1987	3	NA	842	2194	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1988	3	116	NA	385	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1988	3	NA	253	882	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1989	3	1128	NA	2034	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1989	3	NA	138	466	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1990	3	1444	NA	2774	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1990	3	NA	713	1299	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1991	3	478	NA	970	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1991	3	NA	420	1008	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1992	3	202	NA	354	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1992	3	NA	143	372	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1993	3	394	NA	532	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1993	3	NA	111	300	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1994	3	112	NA	301	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1994	3	NA	101	368	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1995	3	81	NA	245	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1995	3	NA	119	564	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1996	3	63	NA	186	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1996	3	NA	45	186	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1997	3	84	NA	191	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1997	3	NA	32	299	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1998	3	32	NA	58	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1998	3	NA	117	237	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1999	3	92	NA	156	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	1999	3	NA	45	110	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2000	3	88	NA	165	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2000	3	NA	89	179	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2001	3	139	NA	204	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2001	3	NA	49	123	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2002	3	81	NA	191	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2002	3	NA	69	117	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2003	3	127	NA	275	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2003	3	NA	20	38	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2004	3	NA	21	61	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2005	3	141	NA	236	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2005	3	NA	161	383	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2006	3	199	NA	385	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2006	3	NA	89	385	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2007	3	48	NA	92	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2007	3	NA	23	69	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2008	3	21	NA	68	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2008	3	NA	16	41	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2009	3	155	NA	258	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2009	3	NA	87	223	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2010	3	28	NA	48	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2010	3	NA	45	203	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2011	3	202	NA	307	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2011	3	NA	17	56	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2012	3	35	NA	52	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2012	3	NA	56	90	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2013	3	NA	49	72	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2014	3	6	NA	10	NA	"R"
"Artiodactyla"	"Bovidae"	"Damaliscus"	"lunatus"	"Topi"	2014	3	NA	37	126	NA	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1985	1	90	NA	NA	42	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1986	1	67	NA	NA	150	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1986	6	NA	151	NA	317	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1987	6	NA	42	NA	122	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1988	1	243	NA	NA	495	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1988	6	NA	20	NA	51	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1989	1	198	NA	NA	191	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1989	6	NA	117	NA	398	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1990	1	457	NA	NA	435	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1990	6	NA	83	NA	113	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1991	1	254	NA	NA	334	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1991	6	NA	25	NA	63	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1992	1	68	NA	NA	54	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1992	6	NA	241	NA	277	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1993	1	147	NA	NA	335	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1993	6	NA	102	NA	675	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1994	1	158	NA	NA	831	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1994	6	NA	102	NA	661	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1995	1	58	NA	NA	58	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1995	6	NA	30	NA	36	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1996	1	65	NA	NA	59	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1996	6	NA	38	NA	65	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1997	1	45	NA	NA	59	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1997	6	NA	65	NA	64	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1998	1	5	NA	NA	7	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1998	6	NA	21	NA	84	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1999	1	206	NA	NA	252	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	1999	6	NA	33	NA	54	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2000	1	63	NA	NA	95	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2000	6	NA	71	NA	118	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2001	1	29	NA	NA	157	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2001	6	NA	18	NA	91	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2002	1	51	NA	NA	84	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2002	6	NA	10	NA	13	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2003	1	40	NA	NA	60	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2003	6	NA	18	NA	27	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2004	6	NA	58	NA	67	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2005	1	175	NA	NA	187	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2005	6	NA	17	NA	32	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2006	1	95	NA	NA	143	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2006	6	NA	19	NA	25	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2007	1	14	NA	NA	45	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2007	6	NA	71	NA	111	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2008	1	27	NA	NA	76	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2008	6	NA	47	NA	63	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2009	1	48	NA	NA	58	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2009	6	NA	43	NA	51	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2010	1	29	NA	NA	47	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2010	6	NA	0	NA	2	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2011	1	65	NA	NA	72	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2011	6	NA	23	NA	49	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2012	1	31	NA	NA	70	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2012	6	NA	0	NA	10	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2013	1	9	NA	NA	119	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2013	6	NA	16	NA	52	"R"
"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	"Warthog"	2014	1	15	NA	NA	14	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1978	6	6	11	58	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1980	6	11	27	81	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1982	6	19	40	178	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1985	6	2	1	18	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1986	6	5	10	92	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1987	6	1	14	71	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1988	6	4	30	65	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1989	6	19	60	288	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1990	6	3	19	62	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1991	6	8	29	95	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1992	6	1	12	96	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1993	6	3	16	75	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1994	6	3	15	67	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1995	6	0	6	25	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1996	6	0	5	15	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1997	6	6	23	84	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1998	6	5	31	58	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	1999	6	13	25	122	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2000	6	4	23	50	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2001	6	2	3	14	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2003	6	3	9	24	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2004	6	0	15	41	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2005	6	4	16	66	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2006	6	2	7	19	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2007	6	4	7	25	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2008	6	0	0	21	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2009	6	7	17	89	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2010	6	2	8	34	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2011	6	7	8	32	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2012	6	7	7	45	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2013	6	0	0	2	NA	"R"
"Artiodactyla"	"Bovidae"	"Kobus"	"defassa"	"Defassa waterbuck"	2014	6	3	7	30	NA	"R"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1962	12	NA	533	965	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1964	1	NA	642	1420	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1964	9	NA	486	1040	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1965	5	415	NA	1499	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1965	11	NA	286	1409	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1966	5	1221	NA	3756	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1966	12	NA	464	1483	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1967	6	1158	NA	2263	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1968	5	1140	NA	3561	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1969	6	1317	NA	4060	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1969	6	NA	543	2411	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1970	5	1126	NA	2891	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1971	2	437	NA	1325	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1971	5	1855	NA	4419	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1971	12	NA	249	849	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1972	1	NA	351	1472	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1972	5	874	NA	1599	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1972	8	1040	NA	1630	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1972	11	NA	481	1772	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1973	5	1352	NA	2650	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1973	9	NA	959	3176	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1978	12	NA	1191	9293	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1980	5	1870	NA	4290	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1980	12	NA	916	4290	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1987	10	31	NA	105	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1987	11	NA	59	171	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1988	10	114	NA	243	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1992	7	431	NA	1300	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1992	8	NA	104	309	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1995	1	NA	224	1404	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1996	12	NA	80	191	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1998	12	NA	22	121	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	2002	1	NA	407	889	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	2012	12	NA	501	1004	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	2014	6	1336	NA	2561	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	2014	6	NA	41	182	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1926	6	109	41	351	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1927	7	173	55	569	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1933	6	191	44	632	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1963	5	510	420	769	NA	"M"
"Artiodactyla"	"Bovidae"	"Connochaetes"	"taurinus"	"Wildebeest"	1964	4	1233	1060	2393	NA	"M"
